Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0.58,-0.000189733,-5.67E-05,0.030771817,0.00137594,-0.003566611,5.29E-06,0.000663797,-0.000322306,-0.003877754,0.025133621,0.694548116,0.000592013,0.030119179,0.021273732,-0.019270139,-0.16387783,-0.153140903,0.748
0.59,-0.000205719,-6.33E-05,0.030747744,0.001194136,-0.003844817,6.86E-06,-0.003958814,-0.001011395,-0.000739076,0.483584229,-0.596468067,0.000648822,0.030119179,0.744671643,0.43199262,-0.8146016,-0.200768411,0.748
0.6,-0.00020733,-5.45E-05,0.030737313,0.000984502,-0.003975752,5.25E-06,0.003617168,0.002836091,-0.001260932,-0.331301241,0.799924005,-0.00026933,0.030119179,-0.002129987,-0.200353891,-0.112607434,-0.031945031,0.748
0.61,-0.000198819,-4.18E-05,0.03074686,0.000775821,-0.003848635,5.54E-06,-0.00186426,-0.000227692,0.003092599,0.38445203,-0.822984271,0.000480552,0.030119179,0.669457674,0.417150676,-0.743963182,-0.115304552,0.748
0.62,-0.000184322,-2.59E-05,0.030768431,0.000547417,-0.003428142,6.14E-06,0.004865083,0.003507922,0.001040576,-0.383480777,0.411630692,-0.000574721,0.030119179,-0.007835917,-0.368533611,-0.022635408,0.102580614,0.748
0.63,-0.000163429,-1.57E-05,0.030789395,0.000194705,-0.00287006,5.54E-06,-0.000541356,-0.001406232,0.002982745,0.747415346,-0.87074152,0.001102086,0.030119179,0.414390117,0.289597481,-0.321182638,0.005039752,0.748
0.64,-0.000161755,-2.00E-05,0.030791431,-9.10E-05,-0.002338969,6.20E-06,0.000935814,0.00057232,-0.002592959,-0.105037275,-0.056427988,-0.000109795,0.030119179,0.200898558,-0.017585978,-0.12954931,0.079549909,0.748
0.65,-0.000163361,-2.19E-05,0.030753366,0.000134433,-0.002437149,6.94E-06,-0.001276178,-0.000993616,-0.004706781,-0.256583338,0.203344813,-0.000305362,0.030119179,0.378459573,0.12924017,-0.353373557,0.000853997,0.748
0.66,-0.000169074,-2.98E-05,0.030704162,0.000621424,-0.003054646,8.51E-06,4.54E-05,-0.00066145,-0.004725118,-0.450953806,0.82357399,-0.000451728,0.030119179,0.047190733,-0.083407432,-0.078426763,-0.029123493,0.748
0.67,-0.000191064,-4.43E-05,0.030680194,0.000999999,-0.00361346,8.78E-06,-0.004596433,-0.002335965,0.000128857,0.121579054,-0.347433924,7.20E-05,0.030119179,0.698728085,0.113705337,-0.69374156,-0.200945258,0.748
0.68,-0.000204903,-6.13E-05,0.030705056,0.001156503,-0.0039834,8.87E-06,0.001730933,-0.001157255,0.004637294,0.054877953,0.664559043,0.000561871,0.030119179,0.334691644,0.135664582,-0.204507649,-0.304805756,0.748
0.69,-0.000195241,-6.26E-05,0.03076239,0.00128169,-0.004058211,8.53E-06,0.000238145,0.000870014,0.006354028,-0.239423307,-0.272162666,-0.00070132,0.030119179,0.580230355,0.123348139,-0.092064813,0.04873034,0.748
0.7,-0.000193566,-6.03E-05,0.030788653,0.001233844,-0.003521395,7.71E-06,0.00015935,-0.000383419,-0.001316097,0.268273769,-0.684337457,7.66E-05,0.030119179,0.55776453,0.193248466,-0.41111964,-0.003262162,0.748
0.71,-0.000178313,-6.52E-05,0.030753961,0.000996982,-0.002976766,6.62E-06,0.003008449,-0.000600832,-0.005338724,0.296890449,0.107851513,0.000563769,0.030119179,0.023149271,0.06302885,-0.132106632,-0.410136312,0.748
0.72,-0.000169509,-5.99E-05,0.030727595,0.000974737,-0.002675058,7.60E-06,-0.001182978,0.001680813,0.000286537,-0.397733413,-0.425431257,-0.000787428,0.030119179,0.331145644,0.026972093,-0.370336711,0.344183505,0.748
