Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0.37,0.000145012,-6.24E-06,0.030071162,-0.000289249,0.001834156,3.40E-05,-0.001543925,-0.001166849,0.002874048,0.315134114,0.203580408,-0.000354677,0.030119179,-0.193954349,0.130565688,0.124062642,-0.186901525,1.152
0.38,0.00013579,-8.65E-06,0.030047847,-0.000218828,0.001700237,3.35E-05,-0.000336838,0.000670681,-0.007396969,-0.434934,-0.197195989,0.000422338,0.030119179,-0.206931248,-0.026146628,0.072617076,-0.050191909,1.152
0.39,0.000139214,-1.76E-06,0.029934654,3.68E-05,0.001944935,3.27E-05,0.001061359,0.000699189,-0.014557358,-0.615517535,-0.439874711,0.000641019,0.030119179,-0.278449595,-0.195656598,0.272839904,0.149296835,1.152
0.4,0.000148464,-6.19E-06,0.029768889,0.000328306,0.002389201,2.93E-05,0.000867439,-0.001634047,-0.017573794,-0.12484556,-0.719718434,2.86E-05,0.030119179,-0.197811753,0.141675621,0.223622739,-0.150512844,1.152
0.41,0.000161296,-1.39E-05,0.02960217,0.000501109,0.002870606,2.96E-05,0.001801561,6.32E-05,-0.014716258,-0.186375666,-0.579167632,0.000128603,0.030119179,-0.260662496,-0.033912394,0.173982337,-0.007898625,1.152
0.42,0.000185244,-1.58E-05,0.029497868,0.000551905,0.00335656,2.86E-05,0.003122122,-0.000469263,-0.005470347,0.061907588,-0.271748795,-0.000201862,0.030119179,-0.454227686,0.100518584,0.451058656,-0.182050601,1.152
0.43,0.000209648,-1.28E-05,0.029498556,0.000487015,0.003787776,2.87E-05,0.001880167,0.001089852,0.005603422,0.055609577,-0.242563134,-0.000185976,0.030119179,-0.520196259,0.047578447,0.514234722,-0.096778773,1.152
0.44,0.000219699,1.97E-06,0.029601924,0.000252585,0.004060582,2.90E-05,0.000189076,0.001931039,0.014402106,0.134758937,-0.233698833,-0.000337878,0.030119179,-0.187306404,0.003141364,0.532283485,0.136410117,1.152
0.45,0.000224302,1.76E-05,0.029749938,-0.000101211,0.004191269,2.86E-05,0.0007501,0.001288403,0.014270473,0.403069031,0.106057473,-0.000937179,0.030119179,-0.446118385,-0.183867782,0.448993504,-0.166274786,1.152
0.46,0.000229459,3.25E-05,0.029898229,-0.000541543,0.004187026,2.88E-05,0.000286406,0.001766699,0.014464988,0.409934945,0.297459191,-0.001033957,0.030119179,-0.518185437,-0.133481294,0.432323575,-0.027718212,1.152
0.47,0.000228454,5.11E-05,0.030018587,-0.001029404,0.004012146,2.96E-05,-0.000513193,0.002053499,0.008874468,0.290456397,0.30462846,-0.000815888,0.030119179,-0.467173249,-0.341663241,0.401162267,0.163271099,1.152
